car,move
AH,1
P,1
AL,-1
AB,-1
AH,1
AC,-1
AI,-1
AI,-1
AI,-1
AF,-1
AE,1
W,1
W,1
AA,-1
W,1
Y,-1
AK,-1
AC,-1
AE,-1
AG,-1
AC,-1
AB,1
AE,-1
AB,1
AS,-1
AQ,-1
AR,-1
AK,-1
AS,-1
H,1
AA,-1
AS,-1
AB,-1
AQ,-1
AQ,-1
AG,1
AK,-1
AR,-1
AR,-1
AK,-1
AF,1
O,1
AJ,1
AJ,1
AP,-1
AO,1
AO,1
AO,1
D,1
A,-1
AP,1
B,-1
AJ,-1
A,-1
A,-1
A,-1
D,-1
O,-1
B,-1
AF,-1
AN,-1
A,-1
AM,1
AM,1
AM,1
AJ,-1
AJ,-1
AP,-1
G,-1
F,1
AM,1
AN,1
AG,-1
AQ,1
AB,1
AS,1
AS,1
AS,1
AB,-1
AR,1
AB,-1
AQ,1
AC,1
E,1
AG,1
AF,1
O,1
F,1
F,1
I,-1
H,1
E,1
R,-1
F,1
R,-1
M,-1
G,1
B,-1
D,1
B,-1
A,-1
B,-1
B,-1
D,-1
O,-1
AF,-1
T,-1
AN,-1
AM,-1
AM,-1
AO,-1
AA,1
AC,1
AO,-1
AQ,1
AM,-1
AG,1
AM,-1
AN,1
AO,-1
AA,1
AP,1
AJ,1
AA,1
AA,1
AA,1
AG,-1
AG,-1
AC,1
AB,1
U,1
U,1
AB,1
AS,-1
U,1
T,-1
N,1
N,1
AS,-1
AS,-1
AB,-1
AG,1
AF,1
O,1
AK,1
D,1
AB,-1
B,1
B,1
AC,-1
B,1
D,-1
AC,-1
AK,1
X,1
N,1
X,1
O,-1
X,1
X,1
X,1
AC,-1
AB,1
X,1
X,1
X,1
