car,move
AL,-1
AB,-1
G,-1
AJ,-1
AH,1
AC,-1
O,1
F,1
E,1
P,1
F,1
E,1
AH,1
R,-1
X,-1
H,1
F,1
W,-1
Y,-1
AE,-1
U,1
AI,-1
G,1
AK,-1
AA,-1
AP,-1
U,1
U,1
U,1
Y,1
W,1
X,1
R,1
N,1
E,-1
G,1
N,1
G,1
F,-1
F,-1
D,1
A,-1
A,-1
A,-1
B,-1
B,-1
A,-1
A,-1
E,-1
D,-1
F,-1
AQ,-1
AO,1
G,-1
O,-1
G,-1
G,-1
AF,-1
AI,-1
AE,1
AR,-1
AC,-1
AC,-1
AB,1
L,1
K,1
AA,-1
AA,-1
AA,-1
AA,-1
AE,1
W,1
AI,-1
W,1
W,1
AE,-1
AN,-1
AM,1
AO,1
AM,1
AO,1
AM,1
AM,1
AN,1
AG,-1
AB,1
AS,-1
AS,-1
AS,-1
AB,-1
AG,1
AF,1
I,-1
J,-1
H,1
F,1
E,1
O,1
F,1
E,1
AA,-1
F,1
R,-1
R,-1
F,1
M,-1
O,-1
H,1
F,1
AA,1
AA,1
AA,1
F,-1
AA,1
K,-1
H,-1
L,-1
J,1
J,1
J,1
J,1
L,1
H,1
F,1
K,1
AA,-1
AA,-1
AA,-1
K,-1
L,-1
J,-1
T,-1
T,-1
N,-1
X,1
N,-1
X,1
X,1
X,1
X,1
X,1
X,1
X,1
