car,move
AB,-1
AH,1
AL,-1
AH,1
O,1
D,1
A,-1
A,-1
P,1
B,-1
H,1
B,-1
A,-1
I,-1
AC,-1
A,-1
A,-1
D,-1
G,-1
F,1
E,1
AK,-1
F,1
F,1
E,1
R,-1
R,-1
H,1
M,-1
X,-1
F,1
W,-1
Y,-1
U,1
N,1
AE,-1
U,1
G,1
AI,-1
U,1
Y,1
U,1
J,-1
N,1
G,1
G,1
W,1
T,-1
E,1
E,1
H,1
F,1
E,1
T,-1
X,1
T,-1
M,1
R,1
A,-1
T,-1
AA,-1
T,-1
E,-1
E,-1
E,-1
G,-1
AC,-1
AC,-1
N,-1
G,-1
O,-1
AQ,-1
AF,-1
AG,-1
AB,1
AB,1
AS,-1
AK,-1
AA,-1
AK,-1
AS,-1
AS,-1
AR,-1
AQ,-1
AR,-1
AQ,-1
AB,-1
AR,-1
AG,1
AJ,1
AJ,1
AP,-1
AO,1
L,1
K,1
AA,-1
AA,-1
AO,1
AA,-1
K,-1
AA,-1
F,-1
AO,1
AP,1
AJ,-1
AJ,-1
AJ,-1
AR,1
AP,-1
AE,1
H,-1
AI,-1
AF,1
N,-1
X,1
X,1
R,1
L,-1
J,1
J,1
AK,1
J,1
X,1
J,1
X,1
X,1
AF,-1
AE,1
W,1
AI,-1
W,1
W,1
AE,-1
AN,-1
AM,1
AM,1
AM,1
AM,1
AN,1
AF,1
G,-1
X,-1
X,-1
X,-1
O,1
F,-1
F,-1
E,-1
F,-1
AA,1
L,1
K,1
AA,1
AA,1
AA,1
K,-1
L,-1
J,-1
J,-1
O,-1
J,-1
L,1
K,1
AA,-1
X,1
X,1
X,1
X,1
X,1
X,1
