car,move
P,1
AL,-1
G,-1
AB,-1
AC,-1
AH,1
AH,1
J,1
AJ,-1
O,1
F,1
F,1
H,1
E,1
E,1
R,-1
F,1
X,-1
AK,-1
W,-1
Y,-1
U,1
AE,-1
AI,-1
U,1
AP,-1
U,1
AI,-1
U,1
AA,-1
AQ,-1
AO,1
Y,1
J,1
J,1
AA,-1
W,1
N,1
N,1
L,1
K,1
G,1
AA,-1
G,1
G,1
F,-1
AA,-1
AA,-1
K,-1
L,-1
X,1
R,1
E,-1
F,-1
D,1
AE,1
A,-1
A,-1
A,-1
A,-1
D,-1
O,-1
AF,-1
AE,1
W,1
A,-1
AI,-1
W,1
W,1
AE,-1
E,-1
F,-1
G,-1
G,-1
B,-1
B,-1
G,-1
J,-1
J,-1
J,-1
L,1
K,1
AA,1
AA,1
AA,1
AO,1
F,1
E,1
AF,1
O,1
F,1
E,1
R,-1
F,1
I,-1
H,1
R,-1
F,1
O,-1
AF,-1
M,-1
AN,-1
AM,1
AR,-1
AM,1
AO,1
AM,1
AM,1
AN,1
T,-1
N,-1
T,-1
AF,1
AA,1
N,-1
X,1
X,1
X,1
AA,1
X,1
X,1
AF,-1
AN,-1
AM,-1
AO,-1
AR,1
AK,1
AC,1
AB,1
X,1
X,1
X,1
