car,move
G,-1
AB,-1
AH,1
AL,-1
AH,1
AJ,-1
P,1
O,1
AC,-1
F,1
H,1
F,1
E,1
E,1
R,-1
X,-1
W,-1
Y,-1
AI,-1
J,1
AA,-1
U,1
AE,-1
U,1
U,1
Y,1
AI,-1
U,1
W,1
X,1
J,1
N,1
R,1
E,-1
F,-1
AC,-1
AK,-1
J,1
O,-1
AF,-1
L,1
K,1
AQ,-1
AA,-1
AA,-1
AI,-1
AA,-1
AA,-1
AE,1
K,-1
AR,-1
L,-1
J,-1
J,-1
J,-1
AC,-1
L,1
K,1
AB,1
AG,-1
AB,1
AS,-1
AS,-1
AK,-1
AS,-1
AB,-1
AB,-1
N,1
E,-1
F,-1
G,1
G,1
AC,1
AC,1
AK,-1
AP,-1
AC,1
AB,1
AO,1
AB,1
AS,1
AS,1
AK,-1
AS,1
AB,-1
AB,-1
AC,-1
AG,1
AN,-1
AM,1
AM,1
AO,1
AM,1
G,1
F,1
E,1
AO,1
AM,1
AN,1
AE,1
W,1
W,1
W,1
AE,-1
AF,1
O,1
D,1
A,-1
A,-1
A,-1
B,-1
A,-1
D,-1
F,1
E,1
R,-1
R,-1
AA,-1
F,1
B,-1
I,-1
H,1
F,1
J,-1
O,-1
AF,-1
AN,-1
G,-1
AM,-1
H,1
F,1
AM,-1
AO,-1
AM,-1
AC,-1
AM,-1
AN,1
AC,-1
AA,1
AG,-1
AB,1
AB,1
M,-1
AS,-1
AA,1
AA,1
AA,1
AK,1
AK,1
AK,1
AS,1
AB,-1
AB,-1
AG,1
AR,1
AA,1
T,-1
G,-1
N,-1
AC,1
AF,1
AK,1
T,-1
N,-1
X,1
X,1
X,1
AA,1
X,1
X,1
AC,1
AC,1
AB,1
X,1
X,1
X,1
