car,move
AF,-1
AH,1
AL,-1
AJ,-1
AA,-1
G,-1
F,1
AE,1
AH,1
AI,-1
W,1
AI,-1
AI,-1
W,1
W,1
P,1
Y,-1
S,1
AE,-1
E,1
C,1
Q,1
U,1
AE,-1
U,1
U,1
N,1
Y,1
AA,-1
H,1
V,1
C,1
Q,1
C,1
E,-1
AF,1
F,-1
O,1
G,1
D,1
A,-1
A,-1
A,-1
A,-1
A,-1
D,-1
G,-1
B,-1
F,1
E,1
C,-1
B,-1
C,-1
I,-1
C,-1
E,-1
O,-1
F,-1
G,1
N,1
AF,-1
AG,-1
AB,1
AS,-1
AB,1
AC,-1
AC,-1
AC,-1
AB,-1
AS,-1
AS,-1
AB,-1
AG,1
AF,1
B,-1
O,1
D,1
B,-1
G,1
G,1
B,-1
A,-1
B,-1
D,-1
F,1
E,1
L,1
K,1
AA,-1
AA,-1
AA,-1
AA,-1
F,1
E,1
R,-1
H,1
R,-1
F,1
G,-1
F,1
G,-1
N,-1
O,-1
N,-1
M,-1
T,-1
T,-1
X,1
X,1
X,1
X,1
X,1
X,1
X,1
X,1
