car,move
H,1
AA,-1
P,1
AL,-1
AH,1
AB,-1
AC,-1
O,1
D,1
A,-1
A,-1
AH,1
B,-1
B,-1
A,-1
A,-1
A,-1
G,-1
F,1
D,-1
E,1
F,1
E,1
R,-1
X,-1
W,-1
R,-1
M,-1
I,-1
H,1
F,1
F,1
Y,-1
U,1
AI,-1
AE,-1
U,1
U,1
Y,1
T,-1
O,-1
AF,-1
U,1
AE,1
AE,1
W,1
AI,-1
AI,-1
W,1
W,1
W,1
AE,-1
AC,-1
AA,-1
A,-1
X,1
AC,-1
AG,-1
AB,1
AB,1
AS,-1
AS,-1
AS,-1
AB,-1
AG,1
T,-1
J,1
J,1
J,1
H,1
L,1
K,1
AA,-1
F,1
AA,-1
AA,-1
K,-1
AF,1
AA,-1
E,1
O,1
E,1
E,1
L,-1
T,-1
M,1
T,-1
T,-1
E,-1
E,-1
N,1
N,1
E,-1
G,1
AA,1
D,1
R,1
J,-1
B,-1
B,-1
R,1
B,-1
AA,-1
E,-1
T,1
G,1
B,-1
F,-1
D,-1
H,-1
J,-1
J,-1
F,-1
G,1
F,-1
AA,1
L,1
K,1
AA,1
AA,1
F,1
F,1
G,-1
G,-1
D,1
N,-1
B,1
B,1
B,1
D,-1
O,-1
X,1
N,-1
X,1
X,1
X,1
X,1
X,1
X,1
X,1
