car,move
P,1
AH,1
AB,-1
O,1
D,1
A,-1
A,-1
B,-1
A,-1
A,-1
A,-1
G,-1
D,-1
B,-1
F,1
AA,-1
AJ,-1
J,1
J,1
J,1
L,1
AA,-1
K,1
H,1
AA,-1
AA,-1
AA,-1
AC,-1
E,1
AA,-1
F,1
AP,-1
E,1
R,-1
X,-1
R,-1
F,1
W,-1
I,-1
H,1
F,1
H,1
F,1
AA,1
AA,1
AA,1
AC,-1
AQ,-1
AO,1
AK,-1
AR,-1
AO,1
AO,1
O,-1
AF,-1
AN,-1
AM,1
AM,1
AM,1
AM,1
AN,1
Y,-1
U,1
AE,-1
AL,-1
AH,1
AI,-1
U,1
U,1
Y,1
U,1
W,1
U,1
AI,1
AH,-1
X,1
AE,1
AE,1
W,1
AL,1
AL,1
AL,1
AH,1
AI,-1
AI,-1
AI,-1
W,1
M,-1
T,-1
T,-1
W,1
AE,-1
AF,1
X,1
X,1
X,1
X,1
X,1
AC,-1
AB,1
X,1
AA,1
K,-1
L,-1
J,-1
X,1
X,1
