car,move
P,1
AL,-1
AA,-1
AJ,-1
L,1
K,1
AA,-1
AA,-1
H,1
AH,1
AA,-1
AA,-1
K,-1
O,1
L,-1
J,1
J,1
J,1
D,1
L,1
A,-1
A,-1
A,-1
A,-1
D,-1
A,-1
G,-1
B,-1
K,1
F,1
E,1
AA,1
AA,1
AA,1
K,-1
F,1
E,1
R,-1
X,-1
L,-1
J,-1
F,1
B,-1
I,-1
J,-1
H,1
W,-1
F,1
J,-1
L,1
K,1
AA,-1
AE,-1
R,-1
M,-1
Y,-1
O,-1
AF,-1
AH,1
AG,-1
AQ,-1
AB,1
AB,1
AC,-1
AK,-1
AS,-1
AK,-1
AR,-1
U,1
AS,-1
AC,-1
AC,-1
AB,-1
AP,-1
AR,-1
AO,1
U,1
AI,-1
AS,-1
AB,-1
AQ,-1
U,1
Y,1
U,1
AO,1
AO,1
AG,1
AN,-1
AM,1
AM,1
AM,1
W,1
X,1
AM,1
AN,1
AE,1
N,1
U,1
AI,1
AH,-1
AL,1
AL,1
AL,1
AH,1
AI,-1
AI,-1
AQ,-1
AE,1
W,1
AI,-1
W,1
W,1
AE,-1
AK,-1
AN,-1
AM,-1
AP,1
AJ,1
AJ,1
AR,-1
AJ,1
AP,-1
AM,1
AN,1
AF,1
T,-1
N,1
T,-1
Y,-1
X,1
N,1
X,1
X,1
X,1
X,1
AF,-1
AN,-1
AM,-1
AP,1
AJ,-1
AR,1
AK,1
X,1
X,1
X,1
