car,move
AH,1
O,1
D,1
A,-1
B,-1
A,-1
A,-1
B,-1
A,-1
A,-1
H,1
G,-1
D,-1
AL,-1
AH,1
AI,-1
F,1
I,-1
E,1
F,1
F,1
E,1
R,-1
R,-1
H,1
F,1
O,-1
AF,-1
AE,1
W,1
AI,-1
AI,-1
W,1
W,1
AE,-1
M,-1
Y,-1
T,-1
U,1
T,-1
X,1
AF,1
X,1
X,1
X,1
X,1
X,1
X,1
X,1
