car,move
J,1
AF,-1
J,1
AH,1
AA,-1
AL,-1
AH,1
AI,-1
AB,-1
AC,-1
AC,-1
P,1
AI,-1
AE,1
W,1
AI,-1
W,1
J,1
W,1
L,1
AE,-1
Y,-1
K,1
AE,-1
U,1
U,1
AF,1
O,1
D,1
A,-1
N,1
B,-1
A,-1
A,-1
AC,-1
A,-1
D,-1
O,-1
AF,-1
AG,-1
AB,1
AB,1
AS,-1
AA,-1
B,-1
AS,-1
AA,-1
H,1
AQ,-1
AA,-1
AA,-1
AK,-1
AS,-1
AB,-1
K,-1
L,-1
J,-1
AG,1
AF,1
O,1
N,1
U,1
U,1
G,1
I,-1
AQ,-1
AQ,-1
AK,-1
G,1
F,1
F,1
E,1
E,1
AA,-1
R,-1
R,-1
H,1
F,1
F,1
G,-1
N,-1
G,-1
O,-1
AF,-1
AE,1
AQ,-1
M,-1
AE,1
AG,1
AG,1
AE,1
AE,1
U,-1
U,-1
N,-1
U,-1
AE,-1
AG,-1
AE,-1
AE,-1
AG,-1
AF,1
T,-1
T,-1
X,1
X,1
X,1
X,1
X,1
X,1
AQ,1
X,1
X,1
