car,move
AL,-1
O,1
D,1
AB,-1
AC,-1
P,1
AH,1
AH,1
A,-1
A,-1
B,-1
B,-1
A,-1
A,-1
A,-1
D,-1
G,-1
O,-1
F,1
H,1
AF,-1
AA,-1
AJ,-1
AQ,-1
AC,-1
AK,-1
L,1
AR,-1
K,1
AA,-1
AC,-1
AA,-1
AA,-1
AG,-1
AA,-1
AB,1
AB,1
AS,-1
AK,-1
AS,-1
AS,-1
AQ,-1
AB,-1
AR,-1
AB,-1
AG,1
AI,-1
AI,-1
AE,1
W,1
AP,-1
AO,1
AI,-1
W,1
W,1
AE,-1
AN,-1
AM,1
AO,1
AM,1
AA,-1
AM,1
AO,1
AM,1
AN,1
AF,1
O,1
E,1
F,1
E,1
R,-1
R,-1
F,1
I,-1
H,1
F,1
AK,-1
J,-1
H,1
F,1
AA,1
AA,1
AA,1
F,-1
M,-1
AQ,-1
Y,-1
U,1
AE,-1
F,-1
U,1
F,-1
AA,-1
AA,-1
AA,-1
F,1
F,1
O,-1
T,-1
T,-1
X,1
X,1
X,1
X,1
X,1
O,1
N,1
N,1
T,1
G,1
G,1
F,-1
G,1
F,-1
T,1
M,1
R,1
R,1
E,-1
F,-1
O,-1
AF,-1
AG,-1
AP,-1
AR,-1
AP,-1
AJ,1
AJ,1
AJ,1
AP,1
AB,1
AP,1
AG,1
AN,-1
AM,-1
AP,1
AJ,-1
AR,1
X,1
AK,1
X,1
X,1
