car,move
AJ,-1
AB,-1
AC,-1
AH,1
L,1
P,1
O,1
D,1
AA,-1
A,-1
AL,-1
AP,-1
AH,1
AA,-1
K,1
AA,-1
H,1
B,-1
A,-1
A,-1
A,-1
A,-1
B,-1
G,-1
D,-1
F,1
AQ,-1
AC,-1
AK,-1
AO,1
AR,-1
F,1
E,1
E,1
AA,-1
AA,-1
R,-1
R,-1
X,-1
W,-1
AA,-1
AI,-1
Y,-1
U,1
AE,-1
U,1
U,1
F,1
U,1
I,-1
H,1
F,1
J,-1
H,1
F,1
AA,1
O,-1
AA,1
AO,1
AA,1
AO,1
AF,-1
AN,-1
AM,1
AM,1
AM,1
U,1
AI,1
AH,-1
AL,1
AL,1
AM,1
AL,1
AH,1
AN,1
AI,-1
U,-1
Y,1
AE,1
W,1
AE,1
W,1
S,1
AI,-1
AI,-1
W,1
W,1
AE,-1
X,1
AL,1
Q,1
W,1
AI,1
M,-1
AC,-1
AG,-1
AB,1
AB,1
AS,-1
AK,-1
AK,-1
AK,-1
AE,-1
Y,-1
AS,1
AB,-1
AG,1
AF,1
O,1
U,-1
T,-1
E,1
E,1
T,-1
E,1
T,-1
A,-1
T,-1
T,-1
E,-1
E,-1
U,-1
U,-1
AE,1
U,-1
Y,1
V,1
Q,1
AD,1
Q,1
Q,1
Q,1
V,-1
Y,-1
U,1
E,-1
F,-1
F,-1
F,-1
AA,-1
AA,-1
AA,-1
F,1
F,1
O,-1
AF,-1
AG,-1
AB,1
AS,-1
AS,-1
AS,-1
AB,-1
AG,1
AF,1
X,1
X,1
X,1
X,1
X,1
AK,1
X,1
X,1
AK,1
X,1
