car,move
AL,-1
AH,1
AF,-1
AG,-1
AB,1
AJ,-1
AQ,-1
AH,1
AB,1
AC,-1
P,1
AC,-1
AA,-1
AC,-1
AA,-1
AK,-1
AB,-1
AB,-1
AG,1
AR,-1
AI,-1
AI,-1
AE,1
W,1
AI,-1
W,1
Y,-1
W,1
AE,-1
H,1
U,1
AG,-1
AB,1
AQ,-1
AS,-1
AK,-1
AK,-1
AS,-1
AQ,-1
AS,-1
AR,-1
AR,-1
AK,-1
AB,-1
AG,1
AQ,-1
AG,1
AE,1
AE,1
AR,-1
AG,1
AE,1
U,1
U,1
AP,-1
AO,1
AO,1
AO,1
U,1
AE,-1
AG,-1
AE,-1
AE,-1
AR,1
AN,-1
AM,1
AM,1
AM,1
AG,-1
AK,1
AR,1
AQ,1
AM,1
AN,1
AF,1
O,1
AK,1
J,1
J,1
J,1
L,1
K,1
AA,-1
AA,-1
AA,-1
K,-1
L,-1
J,-1
J,-1
J,-1
L,1
K,1
AA,1
AA,1
AA,1
K,-1
L,-1
J,1
J,1
J,1
L,1
K,1
AA,-1
AA,-1
AA,-1
N,1
N,1
K,-1
L,-1
J,-1
J,-1
J,-1
L,1
K,1
AA,1
G,1
AA,1
G,1
F,1
D,1
A,-1
A,-1
B,-1
B,-1
A,-1
E,1
A,-1
D,-1
F,1
E,1
R,-1
F,1
R,-1
M,-1
A,-1
I,-1
A,-1
H,1
F,1
D,1
B,-1
T,-1
B,-1
T,-1
B,-1
N,1
X,1
B,-1
X,1
D,-1
O,-1
X,1
X,1
X,1
X,1
X,1
X,1
