car,move
K,1
J,1
G,1
H,1
M,-1
H,1
H,1
C,-1
N,-1
X,1
O,-1
N,-1
V,-1
K,1
L,-1
V,-1
S,1
X,1
K,1
J,-1
X,1
X,1
X,1
X,1
K,-1
S,-1
V,1
V,1
X,1
