car,move
AA,-1
AH,1
AF,-1
AG,-1
AJ,-1
AB,1
P,1
J,1
AL,-1
AB,1
AS,-1
J,1
J,1
AS,-1
AC,-1
AQ,-1
AC,-1
L,1
K,1
AC,-1
AB,-1
AK,-1
AP,-1
AA,-1
AS,-1
AB,-1
AG,1
AA,-1
H,1
AR,-1
AK,-1
AA,-1
AA,-1
K,-1
L,-1
J,-1
J,-1
J,-1
AH,1
AQ,-1
AE,1
L,1
K,1
AA,1
AA,1
W,1
AI,-1
AI,-1
AI,-1
W,1
W,1
AE,-1
AN,-1
AM,1
AO,1
AM,1
AO,1
AM,1
AO,1
AM,1
AN,1
AF,1
O,1
D,1
A,-1
Y,-1
U,1
B,-1
A,-1
AE,-1
A,-1
U,1
A,-1
U,1
U,1
A,-1
G,-1
F,1
AE,1
D,-1
E,1
F,1
E,1
R,-1
R,-1
F,1
M,-1
Y,1
B,-1
I,-1
H,1
F,1
J,-1
H,1
F,1
O,-1
AA,-1
AA,-1
K,-1
AA,-1
F,-1
H,-1
J,1
L,-1
J,1
J,1
H,1
F,1
J,1
L,1
AA,1
K,1
AA,1
AA,1
AA,1
K,-1
L,-1
J,-1
F,-1
H,-1
J,-1
J,-1
J,-1
L,1
AF,-1
K,1
AA,-1
H,1
F,1
AA,-1
AA,-1
K,-1
AN,-1
AM,-1
AO,-1
AM,-1
AO,-1
AM,-1
AM,-1
AQ,-1
AQ,-1
AN,1
AG,1
AE,1
AE,1
AG,1
AO,-1
AE,1
X,-1
U,-1
W,-1
W,-1
W,-1
W,-1
Y,-1
U,-1
U,-1
AE,-1
U,-1
Y,1
AE,-1
AG,-1
AG,-1
AK,-1
AR,-1
W,1
X,1
AP,1
W,1
AJ,1
W,1
AR,-1
AJ,1
AJ,1
AP,-1
AO,1
W,1
AO,1
AE,-1
AN,-1
AO,1
AP,1
AJ,-1
AM,1
AM,1
AJ,-1
AJ,-1
AM,1
AP,-1
AM,1
AN,1
AQ,1
AF,1
Y,-1
T,-1
U,1
T,-1
X,1
X,1
X,1
X,1
X,1
X,1
X,1
L,-1
AK,-1
AK,-1
X,1
