Steps
22462
1590
2673
9047
4345
15556
25698
33972
6133
21264
8045
1478
13692
1066
6145
3320
2663
41797
6558
11534
15799
10065
609
35654
15053
22408
2088
13391
5916
16267
20575
22615
7399
12979
7367
5188
3847
19222
4967
11347
8876
5636
4080
16333
2370
11600
9870
10110
13926
428
1368
5528
23184
22276
6364
678
30275
33477
1580
7869
5512
11820
1861
10607
36467
7653
6424
6318
53138
5618
5145
6739
3213
2551
11327
7276
48110
6005
42347
6659
5940
5950
5677
11319
21205
7717
22774
12558
8859
6773
25963
9089
9855
13979
13112
20535
8220
4834
12417
23548
12846
21276
2038
7805
4059
1217
13533
25652
10010
9720
5999
2786
7938
4871
16168
1582
4629
23360
11471
4586
6595
37323
29062
4145
28907
22320
10700
9616
8581
10634
1623
10927
23214
12224
14487
3280
6318
1513
5338
1159
4689
16931
22456
8419
3393
3915
23835
21509
13506
28996
4148
17719
24088
9258
16267
15115
3235
6022
1514
11364
1720
8174
1608
31524
9961
8109
46994
3819
35140
11474
8906
3013
12191
8048
6199
9403
7276
7433
6947
4958
8475
2681
12215
20082
9229
10053
20434
9015
16749
6049
13764
42654
1691
3883
21489
21389
17483
937
10245
17855
2355
8037
15487
20695
5400
4900
14060
42410
6649
17367
23678
3339
38200
3913
14038
13273
15192
25649
12349
7156
16093
13140
9402
5303
2015
3659
33655
7343
24729
31206
11641
14625
35394
7323
13521
3632
13189
26869
350
14640
7992
3993
990
5568
8679
6778
13442
1840
5426
7588
3075
27064
14356
14529
3990
12769
12649
66249
2577
10409
1831
1224
6661
3794
577
42021
3042
537
1092
6118
15555
16207
38964
5842
6194
4958
3536
8861
14178
4059
25077
9365
16176
7883
9737
20285
15127
32183
3960
5010
6675
10329
3313
28998
7956
14698
14649
8261
5588
2326
15978
23154
9741
17800
9045
2057
26481
6887
21594
8535
7907
9120
35981
27732
2331
9076
9647
18044
2846
9271
11426
3609
17531
15704
10064
11312
5893
27973
6625
79215
34687
7737
22255
3347
1092
4213
22489
17997
4536
4637
29491
4724
672
1344
7468
3041
9534
762
3774
5302
32252
60586
10558
14888
5156
55287
6059
6134
37241
25564
86749
6257
14642
2439
12837
2150
5270
14822
17898
35114
5484
25306
1901
2345
826
30787
4748
3031
40117
32916
11179
9631
17673
1787
3325
17105
21675
2140
6291
8901
648
3556
3315
34307
3388
11921
12108
28729
27392
2851
3432
15546
1768
3360
2533
5370
7049
5836
503
7779
31424
1985
12048
34569
1017
40381
29349
13361
19590
18764
6524
14723
1496
2612
20621
8795
3139
17333
1981
36211
2234
24614
18368
3408
18721
1926
4827
24026
3340
16702
31483
3930
7589
8319
13911
12171
2695
22674
16435
13101
11836
16064
9059
17393
4395
583
5432
32399
16110
1316
10709
6148
6775
13811
5132
25050
40056
4968
27077
1337
18422
6016
15971
53429
12537
15271
16496
4024
6301
11273
14615
11038
8463
9443
22671
4257
2983
28960
18795
2069
3894
11990
3550
1104
15553
531
1780
1364
3422
18990
1184
4455
1656
751
30055
1470
26260
1524
33979
14754
10828
7267
13166
5599
45446
5421
20768
13283
2661
4442
13759
25551
11950
12925
32213
5421
5575
12558
8827
5003
1462
4949
15600
9120
16924
8337
5613
11953
9529
9059
12465
4437
1070
5333
3539
12056
11746
769
12012
7236
14795
11723
8910
8370
13240
5028
40294
4399
3232
14425
4626
4687
37520
18936
6712
10297
4696
16201
45806
5599
20473
19337
18052
8511
599
23875
2232
12116
2595
8753
41724
4526
6030
30950
18544
13009
10395
4331
17702
19985
35335
20336
3384
6507
10160
13175
35147
4972
5674
10485
29245
37219
38563
5106
29409
52016
5753
21397
14983
6389
2871
6424
3656
5640
14431
16893
13464
36283
4457
4551
19532
10374
27032
896
899
4500
4681
43507
16426
7918
4997
10372
49442
19859
12055
1444
7726
4867
16399
10011
6251
4667
1676
8735
2731
9779
5409
3366
10048
8528
11211
6523
5741
13395
2733
4388
2764
13985
10657
839
1884
10172
5113
6561
10313
17381
14978
14395
2077
6872
14050
2564
3578
850
17520
11376
12718
6248
32584
16007
8704
11343
22486
18642
731
5456
37512
1108
6401
5203
1657
2119
7723
8198
800
7249
11201
11776
18601
13633
46630
13304
7597
26898
5771
4321
33433
7419
14789
671
15738
15727
20470
11636
1590
22343
31542
14610
18657
25343
2465
2591
965
2018
39380
6473
20922
9275
8476
9975
17232
27013
19397
62755
5653
1562
20253
16174
7616
32323
21036
3203
14821
31692
5907
7323
24690
39996
2543
12003
4177
833
28164
3633
2385
8813
3127
32419
18363
14831
17098
39003
14420
26494
10823
9865
15774
21987
6706
43859
5208
10301
2775
7514
7532
12878
10155
1261
14121
4078
6949
16018
4867
3037
3861
5001
2599
4742
25245
8235
44431
13086
779
1869
22701
6785
3933
8043
13275
10301
6465
9127
7049
486
250
27570
12631
831
14081
8910
19592
14231
2423
2121
709
25881
785
18024
7838
4867
10377
10758
7016
13340
3415
12637
8255
5869
770
3392
3260
22573
2885
3617
6092
4719
3627
11425
11425
8890
2243
12777
30017
31523
1006
14920
1953
1191
3271
21361
641
4579
11779
68043
1716
34730
14558
12992
24532
6841
21247
17707
9207
10442
967
16973
371
21496
17368
262
4011
24926
8193
17032
7356
8883
62064
24377
3712
21096
2298
21903
19163
2335
23209
10024
20452
26637
7500
18660
4716
10184
26310
2968
20175
1468
13885
6745
11793
1001
33159
8336
3112
7225
14689
2520
33230
3792
8900
23461
12504
2463
4806
24920
15089
4344
19418
9076
41885
2699
37358
1389
4862
22293
11870
21673
22500
22008
1354
33554
18755
24589
6782
56842
13905
10473
10334
11333
8074
35959
28739
6147
11064
17890
6573
839
54467
3953
66913
3907
6291
14417
1880
12335
4146
11380
1683
13302
17821
11039
18333
9965
31269
2471
10365
46450
3915
5736
11435
6508
2362
16275
4638
24139
1288
18001
9662
8609
26898
865
26134
16471
10025
24155
6794
10761
5114
380
4442
16415
5309
4541
3046
20753
3764
1319
1661
3617
4473
1050
