puzzel, pruning, solution, unique_boards total_boards
1, 1, 0, 0, 0
1, 2, 35, 501, 1947
1, 3, 35, 524, 2238
2, 1, 29, 3802, 23417
2, 2, 29, 2224, 10980
2, 3, 29, 3802, 23417
3, 1, 0, 0, 0
3, 2, 83, 4919, 19347
3, 3,
4, 1,
4, 2,
4, 3,
6, 1,
6, 2,
6, 3,

