car,move
J,1
AL,-1
AH,1
O,1
AB,-1
P,1
D,1
AC,-1
A,-1
B,-1
A,-1
A,-1
A,-1
A,-1
G,-1
AJ,-1
D,-1
F,1
AC,-1
AA,-1
B,-1
H,1
O,-1
AF,-1
AH,1
E,1
AI,-1
AI,-1
AE,1
W,1
AI,-1
W,1
W,1
AE,-1
AF,1
O,1
F,1
F,1
E,1
R,-1
I,-1
H,1
R,-1
F,1
O,-1
AF,-1
AE,1
W,-1
W,-1
W,-1
AE,-1
AK,-1
AC,-1
AB,1
AG,-1
AB,1
AS,-1
AS,-1
AA,-1
AS,-1
AB,-1
AG,1
J,1
AE,1
W,1
W,1
S,1
Q,1
W,1
AE,-1
AF,1
O,1
AQ,-1
J,1
L,1
G,1
H,1
K,1
F,1
AA,-1
D,1
AA,-1
B,-1
B,-1
B,-1
A,-1
B,-1
D,-1
O,-1
AF,-1
AN,-1
AM,1
AP,-1
AO,1
AR,-1
AO,1
AM,1
AA,-1
K,-1
AA,-1
L,-1
J,-1
AK,-1
AO,1
W,1
AM,1
AM,1
AN,1
AG,-1
F,-1
AK,-1
H,-1
J,-1
J,-1
AK,-1
AI,1
J,-1
H,1
M,-1
F,1
AA,1
AB,1
AS,1
AS,1
AS,1
AB,-1
AG,1
AF,1
T,-1
O,1
V,1
Q,1
AD,1
T,-1
Q,1
Q,1
Q,1
D,1
B,1
V,-1
B,1
B,1
Y,-1
D,-1
U,1
X,1
O,-1
X,1
X,1
X,1
X,1
AF,-1
AG,-1
AB,1
AS,-1
AK,1
AK,1
X,1
X,1
X,1
