car,move
AJ,-1
AP,-1
AH,1
AL,-1
AA,-1
AB,-1
AC,-1
O,1
P,1
D,1
A,-1
AH,1
B,-1
AA,-1
H,1
A,-1
B,-1
A,-1
A,-1
A,-1
G,-1
D,-1
O,-1
AF,-1
AE,1
F,1
W,1
S,1
AI,-1
AI,-1
AI,-1
W,1
W,1
AE,-1
J,1
J,1
J,1
L,1
K,1
AA,-1
AA,-1
AA,-1
K,-1
L,-1
J,-1
AF,1
O,1
Y,-1
J,-1
E,1
F,1
E,1
R,-1
R,-1
AC,-1
AK,-1
AQ,-1
I,-1
J,-1
U,1
AO,1
L,1
K,1
AA,1
AA,1
F,1
G,1
H,1
AE,-1
N,1
U,1
U,1
F,1
Y,1
U,1
O,-1
AF,-1
J,-1
H,1
F,1
AA,-1
AA,-1
AA,-1
AR,-1
AO,1
AE,1
AN,-1
AM,1
AO,1
F,-1
AM,1
AM,1
AM,1
AN,1
AF,1
O,1
F,-1
N,1
G,1
G,1
F,-1
AA,1
AA,1
AA,1
F,1
F,1
A,-1
O,-1
AF,-1
AN,-1
AM,-1
AM,-1
AM,-1
AM,-1
F,1
AA,-1
AA,-1
AA,-1
AC,-1
AN,1
K,-1
AG,-1
F,-1
H,-1
AB,1
J,1
AB,1
AS,-1
L,-1
J,1
J,1
H,1
F,1
AS,-1
M,-1
AS,-1
AB,-1
T,-1
AG,1
J,1
L,1
AA,1
K,1
AA,1
AA,1
AA,1
F,-1
K,-1
L,-1
H,-1
B,-1
AN,-1
AM,1
W,1
AI,1
AM,1
AM,1
Q,1
V,1
Q,1
AD,1
Q,1
Q,1
AM,1
AN,1
AF,1
Q,1
O,1
J,-1
J,-1
J,-1
L,1
K,1
AA,-1
D,1
B,-1
B,-1
B,-1
D,-1
O,-1
T,-1
V,-1
Y,-1
N,1
X,1
X,1
X,1
X,1
X,1
X,1
X,1
X,1
