car,move
AH,1
AJ,-1
AL,-1
AF,-1
AH,1
AA,-1
P,1
AA,-1
AI,-1
AG,-1
AB,1
AS,-1
AQ,-1
AB,1
AC,-1
AC,-1
AC,-1
AB,-1
AK,-1
AR,-1
AK,-1
AK,-1
AK,-1
AS,1
AB,-1
AP,-1
AB,-1
AC,1
AC,1
AC,1
AB,1
AB,1
AS,-1
AS,-1
AS,-1
AB,-1
AG,1
AF,1
O,1
AB,-1
AC,-1
AK,1
AC,-1
AQ,-1
D,1
AQ,-1
A,-1
A,-1
A,-1
H,1
L,1
B,-1
B,-1
K,1
AA,-1
AA,-1
AA,-1
A,-1
A,-1
AO,1
D,-1
AO,1
AO,1
O,-1
AR,-1
AF,-1
AE,1
AR,-1
W,1
S,1
AI,-1
AI,-1
W,1
W,1
Q,1
AE,-1
AP,1
AJ,1
AJ,1
AJ,1
AP,-1
AO,-1
AO,-1
AO,-1
AP,1
AJ,-1
AE,-1
Y,-1
U,1
U,1
U,1
U,1
N,1
N,1
G,1
AE,1
AE,1
G,1
F,1
Y,1
V,1
Q,1
E,1
C,1
C,1
C,1
E,-1
F,-1
G,-1
G,-1
G,-1
F,1
E,1
C,-1
Q,-1
W,-1
C,-1
V,-1
Q,-1
W,-1
S,-1
W,-1
AE,-1
AF,1
O,1
F,1
E,1
R,-1
R,-1
AA,-1
AR,1
F,1
I,-1
J,-1
H,1
H,1
F,1
G,1
AK,1
F,1
AA,1
AA,1
AA,1
AA,1
F,-1
H,-1
J,1
K,-1
L,-1
J,1
J,1
J,1
H,1
L,1
F,1
K,1
AA,-1
AA,-1
AA,-1
AA,-1
K,-1
L,-1
J,-1
M,-1
AC,-1
G,1
G,1
E,1
E,1
E,1
T,-1
T,-1
T,-1
T,-1
A,-1
T,-1
E,-1
E,-1
E,-1
G,-1
N,-1
G,-1
X,1
N,-1
X,1
O,-1
X,1
X,1
AB,1
X,1
X,1
X,1
X,1
