car,move
P,1
J,1
AH,1
AB,-1
O,1
D,1
A,-1
AC,-1
AK,-1
B,-1
A,-1
B,-1
A,-1
A,-1
A,-1
G,-1
F,1
E,1
H,1
D,-1
AL,-1
AH,1
F,1
F,1
E,1
R,-1
X,-1
W,-1
Y,-1
I,-1
H,1
F,1
U,1
AE,-1
U,1
O,-1
AI,-1
U,1
Y,1
AF,-1
AC,-1
R,-1
AA,-1
M,-1
AG,-1
AQ,-1
AC,-1
J,1
J,1
H,1
AB,1
AB,1
AS,-1
AS,-1
AA,-1
AS,-1
AB,-1
L,1
K,1
AG,1
AQ,-1
AQ,-1
F,1
AA,-1
AA,-1
AA,-1
K,-1
L,-1
T,-1
J,-1
W,1
T,-1
X,1
AK,-1
X,1
AR,-1
X,1
AF,1
AK,-1
X,1
X,1
X,1
AR,-1
AJ,1
AR,-1
AJ,1
AP,-1
AO,1
AO,1
AO,1
AP,1
AJ,-1
AR,1
AK,1
J,1
L,1
K,1
AA,1
AA,1
X,1
AA,1
K,-1
X,1
L,-1
J,-1
X,1
