car,move
AH,1
P,1
AB,-1
AC,-1
AJ,-1
AL,-1
AH,1
AA,-1
O,1
D,1
A,-1
B,-1
A,-1
B,-1
A,-1
A,-1
A,-1
D,-1
O,-1
AF,-1
H,1
AE,1
W,1
AI,-1
AI,-1
AI,-1
AA,-1
W,1
W,1
Y,-1
U,1
AE,-1
N,1
AE,-1
U,1
AQ,-1
AK,-1
AC,-1
AP,-1
AF,1
O,1
D,1
I,-1
N,1
G,1
B,-1
B,-1
B,-1
A,-1
B,-1
D,-1
O,-1
AF,-1
AC,-1
AB,1
AG,-1
AB,1
AS,-1
AS,-1
G,1
AO,1
AQ,-1
AS,-1
AB,-1
AR,-1
AG,1
AK,-1
AK,-1
AQ,-1
AN,-1
AM,1
AR,-1
AO,1
F,1
AO,1
AP,1
AJ,1
AJ,1
AR,-1
AM,1
AM,1
AJ,1
AP,-1
AM,1
AN,1
AG,-1
AP,-1
AB,-1
AP,-1
AJ,-1
AJ,-1
AJ,-1
AP,1
AP,1
AG,1
AN,-1
AM,-1
AM,-1
AM,-1
AM,-1
AR,1
AN,1
AF,1
AK,1
O,1
F,1
F,1
J,1
J,1
J,1
H,1
F,1
D,1
H,1
B,1
B,1
B,1
D,-1
O,-1
AF,-1
L,1
K,1
F,1
AA,-1
AA,-1
AA,-1
B,1
K,-1
AA,-1
L,-1
F,-1
H,-1
J,-1
J,-1
J,-1
J,-1
H,1
F,1
AA,1
L,1
K,1
AA,1
AA,1
F,-1
AA,1
K,-1
H,-1
L,-1
AR,1
AB,1
AG,-1
AB,1
AS,1
AQ,1
AS,1
AK,1
AS,1
AB,-1
AG,1
AF,1
O,1
F,-1
F,-1
F,-1
J,1
F,-1
G,-1
G,-1
G,-1
F,1
E,1
F,1
F,1
F,1
E,1
R,-1
R,-1
O,-1
AF,-1
AG,-1
AB,1
AS,-1
AS,-1
AS,-1
AB,-1
AG,1
M,-1
AK,-1
AQ,-1
AR,-1
J,1
J,1
H,1
J,1
L,1
K,1
AA,-1
F,1
AA,-1
AA,-1
K,-1
AA,-1
AP,1
F,-1
H,-1
L,-1
J,-1
J,-1
J,-1
J,-1
AK,-1
AJ,1
AR,-1
AJ,1
AJ,1
AP,-1
AO,-1
AO,-1
AO,-1
AP,1
AJ,-1
AJ,-1
AF,1
O,1
AJ,-1
AP,-1
AO,1
AO,1
H,1
F,1
AO,1
AA,1
D,1
B,-1
B,-1
G,1
B,-1
B,-1
D,-1
O,-1
AF,-1
AN,-1
AM,1
AM,1
AM,1
AM,1
L,1
AN,1
AF,1
O,1
D,1
B,1
B,1
K,1
B,1
D,-1
O,-1
AA,1
AA,1
AA,1
AR,1
F,-1
H,-1
J,1
K,-1
L,-1
J,1
J,1
AK,1
J,1
L,1
K,1
AA,-1
H,1
T,-1
T,-1
F,1
AA,-1
AA,-1
N,-1
K,-1
X,1
N,-1
X,1
X,1
X,1
X,1
L,-1
X,1
J,-1
X,1
X,1
