car,move
AB,-1
P,1
AH,1
AC,-1
AL,-1
O,1
D,1
AH,1
A,-1
B,-1
A,-1
B,-1
A,-1
A,-1
A,-1
G,-1
D,-1
F,1
E,1
F,1
E,1
R,-1
R,-1
H,1
X,-1
W,-1
Y,-1
F,1
AI,-1
I,-1
H,1
AJ,-1
F,1
O,-1
AF,-1
AP,-1
U,1
AE,-1
U,1
U,1
U,1
AN,-1
AK,-1
AO,1
AM,1
AQ,-1
AR,-1
AO,1
AM,1
AA,-1
AM,1
G,1
U,1
AI,1
AH,-1
AL,1
AL,1
AL,1
AH,1
AI,-1
U,-1
U,-1
U,-1
AI,1
AH,-1
AL,-1
AL,-1
AC,-1
AA,-1
AO,1
AM,1
AN,1
AG,-1
AC,-1
AB,1
AB,1
AS,-1
AS,-1
AS,-1
AK,-1
AB,-1
AG,1
AL,-1
AN,-1
AH,1
AM,-1
AM,-1
AM,-1
AM,-1
AN,1
J,-1
L,1
K,1
AA,-1
H,1
F,1
AA,-1
AA,-1
K,-1
L,-1
AA,-1
F,-1
H,-1
J,1
AF,1
O,1
J,1
J,1
AI,-1
AI,-1
U,1
H,1
U,1
F,1
Y,1
J,1
L,1
AA,1
K,1
AA,1
AA,1
AA,1
F,-1
K,-1
H,-1
L,-1
J,-1
J,-1
J,-1
L,1
D,1
J,-1
B,-1
K,1
B,-1
A,-1
B,-1
B,-1
AA,-1
D,-1
O,-1
H,1
F,1
AA,-1
AF,-1
W,1
AE,1
AE,1
W,1
AI,-1
W,1
W,1
AE,-1
AK,-1
N,1
AF,1
O,1
D,1
B,1
B,1
B,1
D,-1
M,-1
N,1
G,1
G,1
X,1
AA,-1
B,1
AA,-1
F,-1
F,-1
F,-1
AA,1
AA,1
AA,1
F,1
F,1
F,1
AA,-1
AA,-1
AA,-1
F,-1
F,-1
F,-1
AA,1
AA,1
AA,1
F,1
F,1
B,-1
D,1
B,-1
B,-1
B,-1
F,1
AA,-1
AA,-1
K,-1
T,-1
Y,-1
N,1
T,-1
D,-1
X,1
X,1
O,-1
X,1
X,1
X,1
L,-1
X,1
AK,-1
X,1
AK,-1
X,1
