car,move
AH,1
P,1
AB,-1
AC,-1
AK,-1
AJ,-1
AL,-1
AH,1
O,1
D,1
A,-1
B,-1
A,-1
B,-1
A,-1
H,1
A,-1
A,-1
G,-1
D,-1
F,1
E,1
F,1
E,1
I,-1
H,1
F,1
F,1
R,-1
R,-1
X,-1
AI,-1
AI,-1
W,-1
Y,-1
AE,-1
U,1
U,1
U,1
U,1
Y,1
AA,-1
O,-1
W,1
AE,1
AF,-1
AE,1
W,1
AI,-1
W,1
W,1
AE,-1
AC,-1
L,1
K,1
AA,-1
AG,-1
AC,-1
AB,1
AB,1
AS,-1
AS,-1
AS,-1
AB,-1
AG,1
AB,-1
AC,1
AK,-1
AK,-1
AA,-1
AE,1
M,-1
W,-1
W,-1
W,-1
AE,-1
AC,1
AC,1
AB,1
AG,-1
AB,1
AB,1
AC,-1
AC,-1
AC,-1
AB,-1
AB,-1
AG,1
AE,1
W,1
W,1
W,1
AE,-1
AK,-1
X,1
T,-1
T,-1
X,1
X,1
AF,1
X,1
X,1
X,1
X,1
AA,1
K,-1
L,-1
AK,-1
X,1
X,1
