car,move
P,1
AJ,-1
G,-1
AH,1
AB,-1
AC,-1
AL,-1
AH,1
AP,-1
F,1
H,1
E,1
O,1
F,1
E,1
AK,-1
AA,-1
AA,-1
R,-1
X,-1
W,-1
Y,-1
AI,-1
AQ,-1
AO,1
AE,-1
U,1
U,1
U,1
Y,1
U,1
N,1
N,1
W,1
L,1
K,1
AC,-1
X,1
R,1
E,-1
F,-1
O,-1
AF,-1
E,-1
F,-1
G,1
G,1
G,1
AO,1
AR,-1
AN,-1
F,1
AM,1
AM,1
AO,1
AM,1
E,1
U,1
AM,1
AI,1
AN,1
AF,1
O,1
F,1
E,1
R,-1
X,-1
AH,-1
W,-1
AL,1
AL,1
AL,1
AH,1
AI,-1
U,-1
U,-1
Y,-1
U,-1
AI,1
AH,-1
AL,-1
AL,-1
AL,-1
AH,1
AI,-1
U,1
Y,1
U,1
W,1
X,1
R,1
E,-1
F,-1
D,1
A,-1
B,-1
A,-1
A,-1
B,-1
I,-1
A,-1
D,-1
F,1
H,1
F,1
E,1
F,1
R,-1
O,-1
AF,-1
AC,-1
AN,-1
AM,-1
AI,-1
AM,-1
AM,-1
AM,-1
AB,1
AN,1
AG,-1
AB,1
AS,-1
AS,-1
AS,-1
AB,-1
AG,1
R,-1
AE,1
M,-1
T,-1
AI,-1
AE,1
W,1
W,1
W,1
AE,-1
AF,1
AA,-1
T,-1
Y,-1
X,1
N,1
X,1
X,1
X,1
X,1
X,1
X,1
X,1
