car,move
AL,-1
P,1
AA,-1
AH,1
AB,-1
AC,-1
AH,1
AA,-1
H,1
O,1
D,1
A,-1
A,-1
A,-1
B,-1
B,-1
A,-1
A,-1
AI,-1
D,-1
AI,-1
O,-1
AF,-1
AK,-1
J,1
AE,1
J,1
W,1
J,1
L,1
AI,-1
W,1
K,1
W,1
AE,-1
AA,-1
AA,-1
AE,-1
AA,-1
K,-1
L,-1
J,-1
Y,-1
U,1
J,-1
J,-1
U,1
U,1
N,1
N,1
U,1
G,1
G,1
L,1
K,1
AA,1
AF,1
O,1
AA,1
F,1
F,1
F,1
G,-1
G,-1
I,-1
G,-1
F,-1
F,-1
F,-1
G,1
AE,1
H,1
G,1
G,1
F,1
E,1
F,1
E,1
R,-1
F,1
R,-1
M,-1
F,1
O,-1
AF,-1
G,-1
Y,1
G,-1
AC,-1
AQ,-1
AC,-1
AR,-1
AB,1
AG,-1
AB,1
AS,-1
AK,-1
AK,-1
AR,-1
AS,-1
AQ,-1
AQ,-1
X,-1
AS,-1
AB,-1
AG,1
AB,-1
AE,1
W,-1
W,-1
W,-1
W,-1
AE,-1
AR,-1
AE,-1
N,-1
U,-1
Y,-1
U,-1
U,-1
N,-1
AE,1
AJ,1
AJ,1
AP,-1
AG,-1
AP,-1
AP,-1
AJ,-1
AJ,-1
AR,1
AJ,-1
AP,1
AP,1
AG,1
AQ,-1
AE,1
AG,1
AR,1
AG,1
AE,1
AE,1
U,1
U,1
Y,1
U,1
AE,-1
AE,-1
AG,-1
AG,-1
AQ,1
W,1
W,1
W,1
W,1
T,-1
T,-1
X,1
AE,-1
AF,1
X,1
X,1
X,1
X,1
X,1
AB,1
X,1
AA,1
AK,-1
K,-1
X,1
L,-1
AK,-1
X,1
