car,move
AJ,-1
G,-1
F,1
P,1
AH,1
AL,-1
O,1
AB,-1
AC,-1
AK,-1
E,1
F,1
E,1
R,-1
H,1
AH,1
X,-1
W,-1
Y,-1
AE,-1
U,1
U,1
AI,-1
U,1
Y,1
W,1
X,1
R,1
AC,-1
E,-1
E,-1
F,-1
F,-1
G,1
D,1
A,-1
A,-1
B,-1
A,-1
B,-1
A,-1
D,-1
O,-1
AF,-1
A,-1
AA,-1
AC,-1
G,-1
AG,-1
AB,1
AB,1
AS,-1
F,1
AS,-1
AK,-1
AR,-1
AA,-1
AS,-1
AB,-1
AG,1
AR,-1
E,1
AF,1
O,1
F,1
E,1
F,1
R,-1
AQ,-1
J,1
J,1
I,-1
J,1
H,1
L,1
F,1
H,1
K,1
F,1
AA,-1
R,-1
AA,-1
AA,-1
X,-1
K,-1
L,-1
J,-1
W,-1
O,-1
AQ,-1
Y,-1
AP,-1
U,-1
AO,1
AO,1
AF,-1
AI,1
AH,-1
AN,-1
AM,1
AL,1
AM,1
AM,1
AO,1
AK,-1
AL,1
AL,1
AQ,-1
M,-1
AP,1
AH,1
AQ,-1
AI,-1
AJ,1
AJ,1
U,1
AR,-1
U,1
AJ,1
AP,-1
AM,1
AN,1
Y,1
W,1
AE,1
AE,1
X,1
W,1
S,1
AI,-1
AI,-1
W,1
Q,1
V,1
AL,1
W,1
W,1
AE,-1
AN,-1
AM,-1
AP,1
AJ,-1
AJ,-1
AJ,-1
AP,-1
AM,1
Q,1
AN,1
AF,1
AD,1
Q,1
AI,1
T,-1
AR,1
Q,1
Q,1
T,-1
X,1
AK,1
X,1
X,1
X,1
V,-1
X,1
Y,-1
AG,1
AF,-1
AR,1
AE,1
AE,1
AG,1
AE,1
U,-1
U,-1
U,-1
AE,-1
AG,-1
AE,-1
AG,-1
AQ,1
J,1
L,1
K,1
AA,1
X,1
AA,1
AA,1
K,-1
X,1
L,-1
J,-1
X,1
