solution lengths
61
63
79
61
51
77
78
61
74
104
82
71
110
77
52
73
112
74
64
69
74
84
67
69
57
57
79
69
52
61
72
63
52
77
121
57
61
79
72
64
82
52
61
133
51
58
58
52
52
57
80
74
52
86
62
64
112
71
52
52
74
72
58
80
72
111
78
91
71
58
79
52
79
80
89
52
57
58
79
78
58
128
64
57
85
73
69
91
79
52
83
83
51
60
61
62
88
57
74
58
