car,move
AL,-1
AB,-1
AC,-1
P,1
O,1
AH,1
AH,1
D,1
A,-1
A,-1
B,-1
A,-1
A,-1
B,-1
A,-1
G,-1
F,1
D,-1
H,1
E,1
F,1
E,1
F,1
I,-1
R,-1
R,-1
X,-1
M,-1
W,-1
Y,-1
H,1
AI,-1
F,1
U,1
AE,-1
U,1
U,1
Y,1
U,1
G,1
D,1
B,-1
A,-1
AC,-1
AI,-1
B,-1
W,1
B,-1
B,-1
D,-1
O,-1
AE,1
AF,-1
AE,1
AA,-1
W,1
AI,-1
W,1
W,1
AE,-1
AE,-1
U,-1
Y,-1
U,-1
U,-1
U,-1
Y,1
AE,1
AE,1
W,-1
W,-1
AC,-1
W,-1
AA,-1
AB,1
W,-1
AE,-1
Y,-1
U,1
AG,-1
AB,1
AS,-1
AE,-1
AS,-1
U,1
AS,-1
AB,-1
AG,1
AF,1
O,1
D,1
B,1
B,1
B,1
U,1
D,-1
Y,1
O,-1
L,1
K,1
AA,-1
W,1
T,-1
T,-1
X,1
X,1
X,1
X,1
X,1
X,1
X,1
X,1
X,1
