car,move
O,1
D,1
A,-1
A,-1
B,-1
AL,-1
AH,1
A,-1
A,-1
A,-1
D,-1
G,-1
F,1
E,1
AB,-1
AC,-1
F,1
E,1
R,-1
X,-1
H,1
W,-1
R,-1
Y,-1
F,1
B,-1
AH,1
I,-1
H,1
F,1
O,-1
U,1
AC,-1
AI,-1
AE,-1
U,1
M,-1
U,1
Y,1
AG,1
AA,1
AA,1
AC,-1
T,-1
T,-1
W,1
X,1
X,1
X,1
X,1
X,1
AB,1
X,1
X,1
X,1
X,1
