car,move
AH,1
P,1
AB,-1
AL,-1
AJ,-1
AH,1
AC,-1
AA,-1
AQ,-1
O,1
AC,-1
H,1
AK,-1
AR,-1
D,1
A,-1
A,-1
B,-1
B,-1
A,-1
AA,-1
AC,-1
L,1
K,1
AA,-1
AA,-1
A,-1
AA,-1
A,-1
G,-1
D,-1
O,-1
AF,-1
AG,-1
AB,1
AB,1
AI,-1
AS,-1
AI,-1
AS,-1
AQ,-1
AS,-1
AB,-1
AG,1
AE,1
AI,-1
W,1
W,1
W,1
AE,-1
F,1
AK,-1
AF,1
O,1
I,-1
AK,-1
AR,-1
H,1
E,1
F,1
AA,-1
F,1
F,1
O,-1
AP,-1
E,1
R,-1
R,-1
AO,1
AQ,-1
AO,1
AO,1
AP,1
AJ,1
AR,-1
AJ,1
AJ,1
AP,-1
AO,-1
AO,-1
AO,-1
AP,1
AJ,-1
AR,1
AJ,-1
AJ,-1
AP,-1
AQ,1
AF,-1
AG,-1
AB,1
AS,1
AO,1
AO,1
AO,1
AP,1
Y,-1
M,-1
AB,1
AC,1
AE,-1
AQ,1
AC,1
AC,1
AB,-1
U,1
AK,-1
AS,1
AS,1
AB,-1
AB,-1
U,1
AC,-1
AG,1
U,1
U,1
AC,-1
Y,1
AE,1
AE,1
W,-1
W,-1
W,-1
AE,-1
AC,-1
AB,1
AG,-1
AB,1
AQ,-1
AS,-1
AS,-1
AK,1
AS,-1
AB,-1
AQ,-1
AR,-1
AG,1
AJ,1
AJ,1
AJ,1
AP,-1
AO,-1
AO,-1
AO,-1
AP,1
AJ,-1
AR,1
AK,1
T,-1
T,-1
X,1
X,1
AF,1
X,1
X,1
X,1
X,1
X,1
X,1
