solution lengths
130
89
83
89
96
89
88
85
85
83
146
96
88
89
83
88
105
88
83
96
83
83
116
88
132
96
89
83
89
89
129
89
83
103
86
83
83
89
83
89
96
108
85
83
96
88
132
103
110
89
88
89
94
83
83
85
96
124
122
85
89
123
83
94
88
88
85
85
89
96
103
88
89
83
85
88
128
83
96
134
109
89
83
88
105
96
85
83
83
83
83
83
89
83
86
86
88
83
124
86
89
130
88
130
83
83
89
83
96
83
83
103
83
96
108
88
83
83
103
103
85
83
88
89
130
83
86
83
83
83
89
83
83
110
83
114
108
83
83
176
89
96
88
88
85
85
96
94
83
103
85
96
83
89
83
96
88
89
88
106
86
110
125
85
83
83
89
132
181
83
83
83
89
103
108
109
96
83
83
83
85
110
88
83
133
83
169
83
89
109
83
83
83
96
83
89
83
127
89
83
86
103
89
83
116
89
109
83
94
89
88
89
83
89
83
89
86
96
88
103
89
83
85
83
83
132
83
83
88
83
83
96
103
94
89
136
89
86
124
83
109
83
83
103
83
89
83
83
116
83
83
83
96
88
85
109
103
83
89
83
85
83
89
134
83
120
86
83
123
129
83
83
96
128
83
83
103
89
89
83
130
123
96
83
116
132
83
94
103
94
96
83
83
150
83
83
103
88
83
83
88
83
83
83
149
94
83
83
96
86
86
85
86
83
83
83
88
139
89
88
89
88
83
154
83
86
128
86
89
96
88
83
103
83
89
83
89
83
109
126
83
88
103
96
83
83
89
105
128
83
83
94
110
83
126
103
103
96
83
88
83
83
96
89
83
103
83
83
83
83
103
94
83
88
83
83
83
88
89
88
83
85
96
123
85
96
86
86
103
83
130
94
83
146
88
85
103
89
85
134
86
96
89
89
83
96
89
83
89
109
83
86
83
88
89
94
89
94
83
103
83
83
123
83
120
83
83
83
83
89
83
85
96
103
127
85
96
83
103
96
89
83
83
94
89
89
88
83
96
85
96
83
83
89
85
110
103
88
86
116
86
86
89
144
83
89
86
83
83
83
126
132
83
125
122
83
103
83
83
148
83
83
83
94
94
86
83
96
96
116
89
83
88
89
116
85
110
94
89
89
83
103
86
83
83
83
86
89
110
83
103
85
146
88
85
103
89
83
83
96
89
83
83
83
86
85
85
88
83
89
114
88
83
96
83
83
88
88
86
89
83
89
83
154
89
83
83
83
86
96
83
105
85
116
94
89
110
83
103
130
83
114
103
94
83
83
83
89
94
143
120
83
83
85
94
96
83
88
83
83
85
83
83
86
83
88
88
88
89
126
85
83
110
83
86
85
96
124
126
89
165
103
109
83
110
83
83
85
83
89
89
83
83
96
96
83
86
83
123
120
83
96
83
96
83
83
85
83
103
103
83
122
89
83
139
83
103
85
85
88
86
94
85
89
134
85
83
83
89
89
210
85
83
83
89
94
83
83
96
103
110
88
83
89
83
83
86
88
83
114
86
110
88
83
85
85
89
83
124
109
88
89
83
88
83
83
86
83
83
89
83
83
146
86
88
89
89
129
83
85
86
89
83
83
83
83
94
83
85
83
83
83
89
83
128
89
83
96
83
109
105
85
86
83
83
86
88
83
109
103
103
89
83
94
130
85
83
96
83
89
83
83
85
83
89
141
96
103
83
83
86
83
83
83
89
88
86
83
83
89
130
85
85
83
89
83
131
103
83
85
83
83
96
89
89
83
83
85
110
85
83
83
89
89
124
126
83
83
83
89
86
89
83
109
109
83
83
96
96
89
83
83
83
88
96
83
89
83
83
83
86
83
89
83
83
86
122
83
89
89
83
83
96
85
105
85
83
83
103
89
83
103
89
103
83
103
83
88
88
83
89
88
86
83
83
109
103
86
85
86
103
88
89
83
109
88
89
83
96
85
89
83
89
94
83
83
86
86
96
88
89
134
109
103
83
83
83
83
89
83
89
94
85
83
89
83
88
114
89
103
85
85
83
83
127
96
89
83
89
83
88
94
89
83
85
83
94
96
83
83
89
106
83
83
108
89
96
89
88
85
88
85
83
132
89
103
128
103
83
89
85
89
85
96
83
83
86
83
125
83
88
103
86
83
96
85
83
83
83
94
103
116
126
83
103
148
89
88
89
83
116
83
83
83
94
86
89
96
88
94
88
89
127
89
89
123
83
132
89
83
122
88
88
83
109
89
85
83
88
94
109
123
109
134
83
96
96
94
89
85
