solution lengths
103
88
83
88
96
83
89
83
103
114
109
83
85
86
83
88
89
83
94
89
83
83
83
89
86
88
83
123
83
88
123
83
94
83
83
94
86
85
88
89
128
83
192
83
89
109
83
132
86
83
83
83
88
96
86
83
88
83
83
88
85
85
89
94
86
83
83
106
86
83
83
103
146
83
83
103
163
83
88
128
83
83
86
130
89
89
83
83
94
86
89
83
136
89
83
110
89
83
83
89
