car,move
P,1
AB,-1
AH,1
AL,-1
AC,-1
H,1
AH,1
AA,-1
L,1
K,1
AA,-1
AA,-1
AC,-1
AI,-1
AC,-1
AK,-1
AQ,-1
AF,-1
AG,-1
AB,1
AB,1
AS,-1
AS,-1
AS,-1
AB,-1
AG,1
AF,1
O,1
D,1
A,-1
A,-1
A,-1
A,-1
B,-1
A,-1
D,-1
O,-1
AK,-1
B,-1
AF,-1
AK,-1
AI,-1
AI,-1
AE,1
W,1
W,1
W,1
AE,-1
Y,-1
AE,-1
U,1
U,1
N,1
U,1
U,1
AE,1
N,1
G,1
G,1
F,1
E,1
AF,1
C,1
Y,1
O,1
F,1
E,1
R,-1
F,1
I,-1
R,-1
H,1
F,1
G,-1
B,-1
AB,-1
A,-1
O,-1
AF,-1
G,-1
M,-1
AE,1
W,-1
AR,-1
W,-1
W,-1
AJ,-1
T,-1
N,-1
J,-1
AE,-1
AF,1
N,-1
T,-1
O,1
AC,1
H,1
D,1
B,-1
B,-1
B,-1
D,-1
A,-1
B,-1
G,-1
F,-1
F,-1
AA,-1
AA,-1
AA,-1
F,1
F,1
G,1
B,1
AP,-1
AC,1
AO,1
O,-1
AF,-1
AC,1
AB,1
AO,1
AO,1
AN,-1
AM,1
AM,1
AM,1
AM,1
AN,1
AG,-1
AK,-1
AB,1
AS,1
F,1
AS,1
AS,1
AB,-1
AA,1
AA,1
AG,1
AF,1
O,1
D,1
B,1
B,1
B,1
D,-1
O,-1
AA,1
AA,1
X,1
X,1
AA,1
X,1
AA,1
X,1
X,1
X,1
K,-1
L,-1
AK,-1
X,1
X,1
