car,move
AJ,-1
AH,1
AB,-1
AC,-1
AL,-1
AC,-1
AA,-1
AF,-1
P,1
H,1
AA,-1
AC,-1
J,1
J,1
AB,1
J,1
L,1
K,1
AA,-1
AA,-1
AA,-1
K,-1
L,-1
J,-1
J,-1
J,-1
L,1
K,1
AA,1
AA,1
AA,1
K,-1
L,-1
AE,1
J,1
J,1
J,1
AH,1
AI,-1
W,1
L,1
K,1
AA,-1
AA,-1
AA,-1
AI,-1
AI,-1
W,1
W,1
AE,-1
AF,1
O,1
D,1
A,-1
A,-1
A,-1
A,-1
D,-1
B,-1
A,-1
B,-1
G,-1
F,1
E,1
I,-1
F,1
E,1
R,-1
R,-1
AA,-1
F,1
H,1
F,1
O,-1
AF,-1
AG,-1
AB,1
AS,-1
AS,-1
AS,-1
AB,-1
AG,1
AB,-1
H,1
F,1
AE,1
AA,1
W,-1
W,-1
AC,1
W,-1
AC,1
AE,-1
AA,1
AG,-1
AA,1
AC,1
AB,1
AB,1
AA,1
F,-1
AB,1
K,-1
AC,-1
X,-1
AC,-1
AC,-1
AB,-1
AB,-1
W,-1
AG,1
L,-1
J,-1
H,-1
J,-1
J,-1
Y,-1
U,1
AE,-1
U,1
U,1
L,1
K,1
AA,-1
M,-1
AF,1
Y,1
W,1
T,-1
T,-1
X,1
X,1
X,1
X,1
X,1
X,1
X,1
X,1
X,1
