car,move
AH,1
AJ,-1
AA,-1
AL,-1
O,1
D,1
AB,-1
A,-1
B,-1
AC,-1
AK,-1
A,-1
A,-1
B,-1
AP,-1
A,-1
D,-1
A,-1
G,-1
AR,-1
AH,1
H,1
AC,-1
I,-1
F,1
F,1
F,1
H,1
F,1
O,-1
AF,-1
AG,-1
AC,-1
AB,1
AB,1
AS,-1
AK,-1
AK,-1
AK,-1
AI,-1
AS,1
AB,-1
AB,-1
AG,1
AC,1
AE,1
W,1
AI,-1
AI,-1
W,1
Y,-1
W,1
AE,-1
AE,-1
U,1
U,1
N,1
N,1
AN,-1
AM,1
AO,1
AQ,-1
AM,1
AO,1
AO,1
AM,1
AM,1
AN,1
AF,1
AC,1
O,1
F,-1
F,-1
F,-1
F,-1
G,1
G,1
G,1
F,1
E,1
F,1
F,1
G,-1
G,-1
E,1
R,-1
R,-1
M,-1
T,-1
T,-1
X,1
N,-1
N,-1
X,1
F,1
O,-1
X,1
AA,1
X,1
X,1
AC,1
AB,1
X,1
X,1
AK,-1
X,1
