solution lengths
173
260
44
130
355
120
85
67
314
223
121
36
202
290
108
438
82
467
107
475
190
171
85
457
241
392
220
256
95
121
249
84
103
93
432
35
191
1004
292
136
74
109
162
69
487
256
159
114
171
196
211
85
77
179
240
132
241
526
298
192
138
126
154
280
238
105
379
275
382
93
55
194
217
217
332
380
133
213
153
591
316
405
128
206
177
76
172
105
53
332
379
163
184
49
138
440
466
260
354
133
