car,move
T,-1
K,-1
K,-1
S,-1
K,-1
J,-1
J,-1
T,-1
U,-1
S,-1
Q,-1
G,-1
G,-1
G,-1
E,1
U,-1
Q,-1
L,1
L,1
M,-1
V,-1
V,-1
V,-1
M,1
L,-1
L,-1
E,1
E,1
F,-1
F,-1
V,-1
V,-1
R,-1
R,-1
R,-1
N,1
X,-1
X,-1
H,1
H,1
I,-1
P,-1
V,-1
O,1
I,-1
H,1
X,1
I,-1
X,1
C,1
C,1
D,-1
P,-1
P,-1
X,1
