car,move
K,1
J,1
H,1
H,1
N,-1
G,1
O,-1
U,1
K,1
L,-1
V,-1
V,-1
S,1
K,1
M,-1
K,1
K,1
S,-1
V,1
C,-1
N,-1
H,1
X,1
X,1
J,-1
X,1
X,1
X,1
V,1
X,1
X,1
